6202 6211 6220 6229
# tracer: nop
#
# entries-in-buffer/entries-written: 23674/23674   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
            3on6-6202  [000] .... 79524.134664: sys_nanosleep(rqtp: 7fff542aa040, rmtp: 7fff542aa040)
            3on6-6202  [000] d... 79524.134670: sched_switch: prev_comm=3on6 prev_pid=6202 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.138821: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/3 next_pid=11 next_prio=120
         rcuos/3-11    [000] d... 79524.138824: sched_switch: prev_comm=rcuos/3 prev_pid=11 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.144805: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79524.144811: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 79524.144814: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79524.147802: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79524.147804: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79524.147811: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79524.147817: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.150826: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/3 next_pid=11 next_prio=120
         rcuos/3-11    [000] d... 79524.150829: sched_switch: prev_comm=rcuos/3 prev_pid=11 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.162814: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
