8300
# tracer: nop
#
# entries-in-buffer/entries-written: 13548/13548   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-8300  [000] d... 577869.727439: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=004
           <...>-8300  [000] .... 577869.728082: sys_nanosleep(rqtp: 7fffc2877070, rmtp: 7fffc2877070)
         rcuos/0-8     [000] d... 577869.733418: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577869.739405: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577869.739407: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577869.864478: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577869.864483: sched_wakeup: comm=kworker/u16:0 pid=8656 prio=120 success=1 target_cpu=001
           <...>-8309  [000] d... 577869.907182: sched_wakeup: comm=uname pid=8308 prio=120 success=1 target_cpu=004
           <...>-8309  [000] dNs. 577869.907507: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8309  [000] .... 577869.907960: sched_process_exit: comm=cut pid=8309 prio=120
           <...>-8309  [000] d... 577869.907977: sched_wakeup: comm=sh pid=8305 prio=120 success=1 target_cpu=001
           <...>-8311  [000] d.s2 577869.909506: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-8313  [000] d... 577869.911778: sched_wakeup_new: comm=sh pid=8316 prio=120 success=1 target_cpu=007
           <...>-8313  [000] d... 577869.911940: sched_wakeup_new: comm=sh pid=8317 prio=120 success=1 target_cpu=001
           <...>-8318  [000] dN.. 577869.913937: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
           <...>-8318  [000] d... 577869.915837: sched_wakeup: comm=cut pid=8319 prio=120 success=1 target_cpu=002
           <...>-8318  [000] .... 577869.916148: sched_process_exit: comm=uptime pid=8318 prio=120
           <...>-8318  [000] d... 577869.916177: sched_wakeup: comm=sh pid=8315 prio=120 success=1 target_cpu=005
       rcu_sched-7     [000] d... 577869.920525: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577869.923516: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577869.923518: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577869.938532: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577869.938534: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=003
       rcu_sched-7     [000] d... 577869.938535: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577869.941524: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577869.941526: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577869.956542: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577870.108624: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577870.108627: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577870.611939: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577870.614929: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577870.614934: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577870.728744: sched_wakeup: comm=tmut pid=8300 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577870.728751: sys_nanosleep -> 0x0
           <...>-8300  [000] d... 577870.728836: sched_wakeup_new: comm=tmut pid=8321 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577870.728839: sys_nanosleep(rqtp: 7fffc2877070, rmtp: 7fffc2877070)
           <...>-8321  [000] d... 577870.728881: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8321  [000] .... 577870.728886: sys_nanosleep(rqtp: 7f7902744d50, rmtp: 7f7902744d50)
     kworker/0:1-1492  [000] d... 577870.728894: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=003
       rcu_sched-7     [000] d... 577870.873096: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577870.908109: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
